embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI,Dendrogram_Purity,DP_Lower,DP_Upper,LCA_F1,LCA_F1_Lower,LCA_F1_Upper,TED
Qwen/Qwen3-Embedding-0.6B,tSNE,Agglomerative,38,0.16637663815729595,0.9448265449036013,0.1364719357339522,0.35197895573212734,0.16640335986817997,0.0,0.43571511269310526,0.19263710586710175,0.0,0.435615213583542,980
Qwen/Qwen3-Embedding-0.6B,tSNE,Agglomerative,120,0.06870929680062852,0.9812027400160708,0.05845588514494838,0.1451994291760368,0.09386661258658427,0.0,0.34743305935635993,0.12127143803503734,0.0,0.35167659508896226,980
Qwen/Qwen3-Embedding-0.6B,tSNE,Agglomerative,350,0.027587855908978623,0.994887200820547,0.024611077140524556,0.03621017412359732,0.06964121987707791,0.0,0.347775871355927,0.10938421833265653,0.0,0.41096630676614987,980
Qwen/Qwen3-Embedding-0.6B,tSNE,DC,5,0.5738541924560985,0.7602867749274993,0.4055389180105905,0.4588386248282275,0.6687767657781116,0.027367459049126297,1.0,0.4753233157211577,0.0,1.0,1070
Qwen/Qwen3-Embedding-0.6B,tSNE,DC,13,0.42196637934210957,0.8862445570209007,0.3567170743252447,0.5003459861087772,0.3927934173650336,0.0,0.9086954655720401,0.33289592601144014,0.0,0.7477577542642729,1070
Qwen/Qwen3-Embedding-0.6B,tSNE,DC,38,0.18732948336021277,0.9463642027695197,0.157989030419467,0.351919876955817,0.16093178348308412,0.0,0.4722398266217809,0.17793888215662293,0.0,0.42490604819712413,1070
Qwen/Qwen3-Embedding-0.6B,tSNE,DC,120,0.07079223443232151,0.9834710456941241,0.06234356475559438,0.13968421343312434,0.09867404640889373,0.0,0.4019216445464418,0.11480206277999809,0.0,0.35284896499280516,1070
Qwen/Qwen3-Embedding-0.6B,tSNE,DC,350,0.03177762847994256,0.9955449574020176,0.029466363225151428,0.03736030872816373,0.06421530175882452,0.0,0.33963697202383275,0.10033757032897568,0.0,0.40833289943575607,1070
Qwen/Qwen3-Embedding-0.6B,tSNE,HDBSCAN,5,0.5470870895362971,0.5656133883835676,0.23767774780609746,0.44849178777398757,0.624993778200966,0.0,1.0,0.4510534071712366,0.0,0.9486587696229796,1090
Qwen/Qwen3-Embedding-0.6B,tSNE,HDBSCAN,13,0.34849187639441315,0.4904868266455629,0.09906379762645301,0.3342376205111448,0.3169500942353894,0.0,0.7401429395306742,0.29581721337709793,0.0,0.637746915614139,1090
Qwen/Qwen3-Embedding-0.6B,tSNE,HDBSCAN,38,0.20009353344790543,0.6539454114102544,0.054684364494456184,0.31684411496949955,0.14493301937104763,0.0,0.4426594896855139,0.15625437957474428,0.0,0.38404836151423183,1090
Qwen/Qwen3-Embedding-0.6B,tSNE,HDBSCAN,120,0.10708120420620024,0.8778672720109822,0.03764771094510339,0.257084779480285,0.08135603383826862,0.0,0.35053718458828337,0.09694358815418812,0.0,0.2963688547128872,1090
Qwen/Qwen3-Embedding-0.6B,tSNE,HDBSCAN,350,0.036257967840172454,0.986133311118863,0.022311114462641436,0.06912660133324516,0.05925024041058174,0.0,0.30686412825327114,0.07940063182686531,0.0,0.3188691568421601,1090
sentence-transformers/all-MiniLM-L6-v2,PCA,Agglomerative,5,0.7006437525793171,0.8698908887697175,0.6170705861990529,0.6669488517065432,0.7409434738572948,0.21384747056236642,1.0,0.5766709296586671,0.07388623689092733,1.0,980
sentence-transformers/all-MiniLM-L6-v2,PCA,Agglomerative,13,0.5200126001564073,0.9127613454332776,0.4713944950984991,0.6493648962427783,0.5520772496476835,0.0,1.0,0.4727322566665669,0.00970645909195278,0.935758054241181,980
sentence-transformers/all-MiniLM-L6-v2,PCA,Agglomerative,38,0.37622534775150807,0.9633270334483973,0.35682150483056896,0.6023328329297521,0.3970512230461917,0.0,1.0,0.3829225464411177,0.0,0.9241638475684174,980
sentence-transformers/all-MiniLM-L6-v2,PCA,Agglomerative,120,0.41974352846065965,0.9897674596191259,0.4139671932010209,0.5834633774561261,0.4467818289013802,0.0,1.0,0.43150648696055033,0.0,1.0,980
sentence-transformers/all-MiniLM-L6-v2,PCA,Agglomerative,350,0.47690804991425567,0.9974227743443694,0.4715736579951925,0.5635191612172381,0.5445304801472225,0.0,1.0,0.5578408873242795,0.0,1.0,980
sentence-transformers/all-MiniLM-L6-v2,PCA,DC,5,0.654914766402591,0.8553004940984136,0.5633396637009311,0.5838380009164558,0.753793037219668,0.15809913614638071,1.0,0.5844556327194994,0.05611274876673111,1.0,1140
sentence-transformers/all-MiniLM-L6-v2,PCA,DC,13,0.546757711158234,0.9081379588025706,0.49118740587842924,0.6452349836919784,0.5980286720019369,0.0,1.0,0.4926568129307186,0.018184042231242925,0.9671295836301943,1140
sentence-transformers/all-MiniLM-L6-v2,PCA,DC,38,0.3853052419710125,0.9611264124845323,0.3628127295974444,0.5898516430624762,0.41009854504190274,0.0,1.0,0.36911936198817413,0.0,0.8712291405378008,1140
sentence-transformers/all-MiniLM-L6-v2,PCA,DC,120,0.3443986009876636,0.9883426096101882,0.3378648670354302,0.49975343072554607,0.3688973142116011,0.0,1.0,0.35483072817572725,0.0,0.9282181307230791,1140
sentence-transformers/all-MiniLM-L6-v2,PCA,DC,350,0.24044355717931815,0.996114203203396,0.23524345193075022,0.3054914640006129,0.3111811901052912,0.0,0.9420382957553751,0.34699727805463065,0.0,0.9205442176373141,1140
sentence-transformers/all-MiniLM-L6-v2,PCA,HDBSCAN,5,0.44723383730901406,0.22196073939475983,-0.001439762659553104,0.013839712472604944,0.5191347801174512,0.0,1.0,0.4028388980937849,0.00020253543903264726,0.8054752607485371,1250
sentence-transformers/all-MiniLM-L6-v2,PCA,HDBSCAN,13,0.2899237578030252,0.13100116105317416,0.0031827708557329772,0.029325835258691455,0.4312171349231656,0.0,1.0,0.3279411727833815,0.0,0.7799996648414955,1250
sentence-transformers/all-MiniLM-L6-v2,PCA,HDBSCAN,38,0.16102942721866687,0.12630488319180286,0.0011823910869593187,0.0247326416365189,0.32517477429892644,0.0,1.0,0.2959532758088847,0.0,0.860617719629772,1250
